region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,CapRes_2,THERM,VRE,MUST_RUN,STOR,FLEX,LDS,HYDRO,ESR_1,ESR_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,voltage_level,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,ids,HEAT,TRADER,NACC,Commit,Hydro_level,ESR_3,ESR_4,ESR_5,ESR_6,CapRes_3,MinCapTag_1,MinCapTag_2,MinCapTag_3,MinCapTag_4,MinCapTag_5,MinCapTag_6,MinCapTag_7,MinCapTag_8,MinCapTag_9,MinCapTag_10,MinCapTag_11,MinCapTag_12,MinCapTag_13
NY_Z_A,NY_Z_A_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,21,2,0,0.0,0.93,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,45.0,0.0,1.0,45.0,0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58012,0.0,0,0,1.19,0.0,0.0,0.0,99.0,13.7,6.86,0.0,0.0,0,middle_atlantic_naturalgas,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_A,NY_Z_A_onshore_wind_turbine_1,Onshore Wind Turbine,1,22,2,1,0.0,0.8,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,446.9,0.0,7.0,446.901,0,63.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43000,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_A,NY_Z_A_small_hydroelectric_1,Small Hydroelectric,1,23,2,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.7,0.0,1.0,2.4,-1,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53201,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.75,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_A,NY_Z_A_solar_photovoltaic_1,Solar Photovoltaic,1,24,2,1,0.0,0.8,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,144.7,0.0,41.0,144.689,0,3.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22623,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,1,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
NY_Z_B,NY_Z_B_biomass_1,Biomass,1,25,3,0,0.0,0.93,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,11.1,0.0,12.0,12.396,-1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,150850,0.0,0,0,5.68,0.0,0.0,0.0,0.0,0.0,13.22,1.657,0.926,trans,None,0.581,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_B,NY_Z_B_conventional_hydroelectric_1,Conventional Hydroelectric,1,26,3,0,0.0,0.8,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,27.5,0.0,4.0,27.5,-1,6.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53201,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.34,0.0,0.0,trans,None,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,0,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_B,NY_Z_B_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,27,3,0,0.0,0.93,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,119.1,0.0,2.0,119.1,0,59.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18649,0.0,0,0,5.15,0.0,0.0,0.0,104.0,2.0,8.86,0.466,0.659,trans,middle_atlantic_naturalgas,0.72,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.64,0.64,6,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_B,NY_Z_B_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,28,3,0,0.0,0.93,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6.2,0.0,2.0,6.2,0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15769,0.0,0,0,5.97,0.0,0.0,0.0,135.0,3.5,9.66,0.0,0.0,trans,middle_atlantic_naturalgas,0.3,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.78,3.78,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_B,NY_Z_B_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,29,3,0,0.0,0.93,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,143.8,0.0,3.0,143.799,0,47.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,58012,0.0,0,0,1.19,0.0,0.0,0.0,99.0,13.7,22.47,7.973,9.207,0,middle_atlantic_naturalgas,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY_Z_B,NY_Z_B_nuclear_1,Nuclear,1,30,3,0,0.0,0.93,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,581.3,0.0,1.0,581.3,0,581.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,388943,0.0,0,0,2.84,0.0,0.0,0.0,280.0,0.0,10.44,0.0,0.0,trans,middle_atlantic_uranium,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,24,24,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0
