Load_data,,,,,,,,,,,,,,,,
Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,,
,,,,,,,,141,9944,15495,10435,15781,23574,10269,,
,,,,,,,,142,7735,12034,9841,14622,21921,9414,,
,,,,,,,,143,7286,11332,9424,14326,20678,9486,,
,,,,,,,,144,8833,13755,9332,15228,19619,9701,,
,,,,,,,,145,9717,15110,9129,15281,18791,9415,,
,,,,,,,,146,9143,14214,8872,14974,18067,9495,,
,,,,,,,,147,8912,13853,8824,14998,17915,9498,,
,,,,,,,,148,8818,13708,8874,15223,17930,9460,,
,,,,,,,,149,8868,13788,9041,15633,18223,9631,,
,,,,,,,,150,9195,14299,9434,16464,19150,9905,,
,,,,,,,,151,9763,15196,9903,17034,20522,10076,,
,,,,,,,,152,9935,15453,10275,17203,21447,10383,,
,,,,,,,,153,10390,16161,10702,17294,22608,10710,,
,,,,,,,,154,10944,17020,11012,17381,23514,10969,,
,,,,,,,,155,11265,17525,11111,17482,23980,11154,,
,,,,,,,,156,11404,17739,11163,17428,23934,11326,,
,,,,,,,,157,11534,17946,11136,17350,23894,11433,,
,,,,,,,,158,11428,17779,10988,17197,23369,11650,,
,,,,,,,,159,11060,17200,10931,16555,23075,11715,,
,,,,,,,,160,9423,14638,10787,15811,23209,12142,,
,,,,,,,,161,8885,13798,11274,16715,24274,12462,,
,,,,,,,,162,10186,15829,11752,17872,24800,12614,,
,,,,,,,,163,10976,17058,11864,18035,24997,12276,,
,,,,,,,,164,10764,16731,11625,17628,24502,11928,,
,,,,,,,,165,10044,15600,11044,16483,23393,11044,,
,,,,,,,,166,7895,12231,10576,15658,21914,10655,,
,,,,,,,,167,7454,11544,9810,15047,20820,10042,,
,,,,,,,,168,8919,13853,9542,15546,19392,9730,,
,,,,,,,,169,9548,14851,9178,15301,18232,9502,,
,,,,,,,,170,9041,14062,8995,14993,17524,9620,,
,,,,,,,,171,8838,13748,8954,15003,17364,9675,,
,,,,,,,,172,8767,13640,8964,15064,17406,9691,,
,,,,,,,,173,8803,13698,9097,15424,17695,9815,,
,,,,,,,,174,9038,14063,9479,16062,18505,10019,,
,,,,,,,,175,9506,14801,9868,16559,19821,10040,,
,,,,,,,,176,9523,14812,10213,16802,20860,10338,,
,,,,,,,,177,9933,15452,10602,17013,22078,10657,,
,,,,,,,,178,10327,16062,10852,17244,22815,10881,,
,,,,,,,,179,10655,16576,10896,17436,23080,11030,,
,,,,,,,,180,10830,16846,10977,17596,22845,11360,,
,,,,,,,,181,11011,17130,10983,17597,22817,11340,,
,,,,,,,,182,10996,17107,10891,17513,22288,11536,,
,,,,,,,,183,10669,16592,10776,16907,21892,11409,,
,,,,,,,,184,8958,13912,10898,16377,22038,11528,,
,,,,,,,,185,8480,13166,11310,17373,23206,11791,,
,,,,,,,,186,9973,15496,11807,18820,24227,12394,,
,,,,,,,,187,11008,17109,12037,19123,24885,12394,,
,,,,,,,,188,10781,16756,11777,18755,24633,11816,,
,,,,,,,,189,10025,15568,11155,17451,23487,11191,,
,,,,,,,,190,8322,12899,10322,16222,21116,10110,,
,,,,,,,,191,7147,11065,9769,15428,19627,9950,,
,,,,,,,,192,8487,13182,9494,15552,18694,9574,,
,,,,,,,,193,9057,14116,9078,15308,17501,9524,,
,,,,,,,,194,8780,13688,9021,15282,17206,9704,,
,,,,,,,,195,8667,13516,9043,15417,17144,9795,,
,,,,,,,,196,8764,13668,9243,16029,17538,9944,,
,,,,,,,,197,9090,14178,9711,17250,18476,10433,,
,,,,,,,,198,10012,15616,10754,19116,20515,11257,,
,,,,,,,,199,11632,18156,11773,19960,23601,11536,,
,,,,,,,,200,12429,19392,12034,19616,25071,11466,,
,,,,,,,,201,12578,19611,11879,19096,24761,11262,,
,,,,,,,,202,12484,19448,11719,18673,24137,11245,,
,,,,,,,,203,12609,19642,11539,18365,23954,11249,,
,,,,,,,,204,12622,19661,11437,18245,23622,11268,,
,,,,,,,,205,12650,19703,11345,18139,23537,11341,,
,,,,,,,,206,12655,19711,11193,17948,23207,11536,,
,,,,,,,,207,12416,19338,11239,17881,23283,11823,,
,,,,,,,,208,11007,17131,11437,18004,24229,12508,,
,,,,,,,,209,10726,16698,12211,19378,26102,13438,,
,,,,,,,,210,12362,19260,12831,20717,27573,12806,,
,,,,,,,,211,12109,18867,12175,19572,26296,11525,,
,,,,,,,,212,11031,17183,11405,18591,24398,11128,,
,,,,,,,,213,10249,15966,10747,17286,23340,10426,,
,,,,,,,,214,7960,12383,9988,15625,21734,9364,,
,,,,,,,,215,7253,11280,9436,15114,19856,9354,,
,,,,,,,,216,8556,13324,9285,15859,18436,9452,,
,,,,,,,,217,9456,14735,9041,15965,17671,9337,,
,,,,,,,,218,9123,14217,8928,15904,17299,9485,,
,,,,,,,,219,8956,13962,8933,16118,17240,9572,,
,,,,,,,,220,9013,14054,9115,16705,17620,9704,,
,,,,,,,,221,9326,14543,9557,17979,18586,10161,,
,,,,,,,,222,10221,15940,10560,19603,20817,11000,,
,,,,,,,,223,11834,18469,11566,20286,23925,11375,,
,,,,,,,,224,12669,19764,11898,19750,25489,11310,,
,,,,,,,,225,12661,19740,11712,19156,25088,11103,,
,,,,,,,,226,12468,19424,11531,18599,24294,11081,,
,,,,,,,,227,12557,19563,11350,18173,23799,11061,,
,,,,,,,,228,12607,19638,11266,18081,23448,11150,,
,,,,,,,,229,12607,19638,11189,17840,23234,11209,,
,,,,,,,,230,12541,19534,11164,17744,22902,11497,,
,,,,,,,,231,12258,19093,11197,17420,22865,11687,,
,,,,,,,,232,10955,17051,11435,17152,23616,12040,,
,,,,,,,,233,11003,17135,12302,18697,25179,12994,,
,,,,,,,,234,12574,19595,12963,19946,27644,12611,,
,,,,,,,,235,12283,19141,12389,19026,26951,11659,,
,,,,,,,,236,11360,17700,11720,17954,25219,11176,,
,,,,,,,,237,10693,16663,11052,16775,24260,10331,,
,,,,,,,,238,8119,12632,10210,15352,22152,9585,,
,,,,,,,,239,7491,11653,9635,15115,20618,9640,,
,,,,,,,,240,8724,13588,9640,15699,20116,9794,,
