Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
,,,,,,,,240,283.0,31597.0,1432.0
,,,,,,,,241,297.0,33196.0,1504.0
,,,,,,,,242,294.0,32863.0,1489.0
,,,,,,,,243,294.0,32887.0,1490.0
,,,,,,,,244,304.0,33938.0,1538.0
,,,,,,,,245,315.0,35192.0,1595.0
,,,,,,,,246,323.0,36099.0,1636.0
,,,,,,,,247,335.0,37412.0,1695.0
,,,,,,,,248,346.0,38680.0,1753.0
,,,,,,,,249,352.0,39351.0,1783.0
,,,,,,,,250,358.0,39973.0,1811.0
,,,,,,,,251,358.0,39971.0,1811.0
,,,,,,,,252,353.0,39461.0,1788.0
,,,,,,,,253,350.0,39124.0,1773.0
,,,,,,,,254,350.0,39121.0,1773.0
,,,,,,,,255,355.0,39658.0,1797.0
,,,,,,,,256,354.0,39578.0,1793.0
,,,,,,,,257,370.0,41316.0,1872.0
,,,,,,,,258,387.0,43175.0,1956.0
,,,,,,,,259,376.0,41970.0,1902.0
,,,,,,,,260,356.0,39715.0,1800.0
,,,,,,,,261,329.0,36703.0,1663.0
,,,,,,,,262,304.0,33924.0,1537.0
,,,,,,,,263,281.0,31432.0,1424.0
,,,,,,,,264,274.0,30645.0,1389.0
,,,,,,,,265,273.0,30465.0,1381.0
,,,,,,,,266,278.0,31048.0,1407.0
,,,,,,,,267,296.0,33023.0,1496.0
,,,,,,,,268,325.0,36318.0,1646.0
,,,,,,,,269,348.0,38840.0,1760.0
,,,,,,,,270,354.0,39492.0,1789.0
,,,,,,,,271,360.0,40205.0,1822.0
,,,,,,,,272,365.0,40823.0,1850.0
,,,,,,,,273,368.0,41155.0,1865.0
,,,,,,,,274,372.0,41525.0,1882.0
,,,,,,,,275,379.0,42308.0,1917.0
,,,,,,,,276,383.0,42744.0,1937.0
,,,,,,,,277,388.0,43368.0,1965.0
,,,,,,,,278,399.0,44585.0,2020.0
,,,,,,,,279,410.0,45748.0,2073.0
,,,,,,,,280,415.0,46375.0,2101.0
,,,,,,,,281,408.0,45610.0,2067.0
,,,,,,,,282,405.0,45238.0,2050.0
,,,,,,,,283,385.0,43052.0,1951.0
,,,,,,,,284,361.0,40300.0,1826.0
,,,,,,,,285,330.0,36829.0,1669.0
,,,,,,,,286,305.0,34128.0,1546.0
,,,,,,,,287,289.0,32313.0,1464.0
,,,,,,,,288,284.0,31683.0,1436.0
,,,,,,,,289,278.0,31021.0,1406.0
,,,,,,,,290,280.0,31266.0,1417.0
,,,,,,,,291,293.0,32783.0,1486.0
,,,,,,,,292,319.0,35674.0,1616.0
,,,,,,,,293,341.0,38119.0,1727.0
,,,,,,,,294,348.0,38902.0,1763.0
,,,,,,,,295,360.0,40194.0,1821.0
,,,,,,,,296,372.0,41560.0,1883.0
,,,,,,,,297,382.0,42625.0,1931.0
,,,,,,,,298,386.0,43140.0,1955.0
,,,,,,,,299,394.0,43984.0,1993.0
,,,,,,,,300,397.0,44329.0,2009.0
,,,,,,,,301,402.0,44858.0,2033.0
,,,,,,,,302,411.0,45907.0,2080.0
,,,,,,,,303,417.0,46556.0,2109.0
,,,,,,,,304,418.0,46723.0,2117.0
,,,,,,,,305,410.0,45813.0,2076.0
,,,,,,,,306,406.0,45352.0,2055.0
,,,,,,,,307,389.0,43411.0,1967.0
,,,,,,,,308,365.0,40745.0,1846.0
,,,,,,,,309,334.0,37339.0,1692.0
,,,,,,,,310,310.0,34687.0,1572.0
,,,,,,,,311,295.0,32954.0,1493.0
,,,,,,,,312,286.0,31946.0,1448.0
,,,,,,,,313,282.0,31474.0,1426.0
,,,,,,,,314,284.0,31683.0,1436.0
,,,,,,,,315,297.0,33181.0,1504.0
,,,,,,,,316,323.0,36039.0,1633.0
,,,,,,,,317,342.0,38249.0,1733.0
,,,,,,,,318,349.0,39002.0,1767.0
,,,,,,,,319,361.0,40291.0,1826.0
,,,,,,,,320,374.0,41724.0,1891.0
,,,,,,,,321,384.0,42905.0,1944.0
,,,,,,,,322,391.0,43693.0,1980.0
,,,,,,,,323,400.0,44639.0,2023.0
,,,,,,,,324,403.0,45046.0,2041.0
,,,,,,,,325,407.0,45428.0,2058.0
,,,,,,,,326,414.0,46274.0,2097.0
,,,,,,,,327,420.0,46889.0,2125.0
,,,,,,,,328,420.0,46863.0,2123.0
,,,,,,,,329,411.0,45848.0,2077.0
,,,,,,,,330,404.0,45172.0,2047.0
,,,,,,,,331,389.0,43392.0,1966.0
,,,,,,,,332,364.0,40691.0,1844.0
,,,,,,,,333,335.0,37373.0,1693.0
,,,,,,,,334,312.0,34820.0,1578.0
,,,,,,,,335,297.0,33219.0,1505.0
,,,,,,,,336,289.0,32249.0,1461.0
,,,,,,,,337,285.0,31810.0,1441.0
,,,,,,,,338,287.0,32077.0,1454.0
,,,,,,,,339,300.0,33506.0,1518.0
,,,,,,,,340,325.0,36356.0,1647.0
,,,,,,,,341,346.0,38602.0,1749.0
,,,,,,,,342,353.0,39388.0,1785.0
,,,,,,,,343,366.0,40869.0,1852.0
,,,,,,,,344,380.0,42422.0,1922.0
,,,,,,,,345,391.0,43654.0,1978.0
,,,,,,,,346,400.0,44627.0,2022.0
,,,,,,,,347,409.0,45667.0,2069.0
,,,,,,,,348,413.0,46160.0,2091.0
,,,,,,,,349,418.0,46656.0,2114.0
,,,,,,,,350,425.0,47465.0,2151.0
,,,,,,,,351,429.0,47888.0,2170.0
,,,,,,,,352,426.0,47586.0,2156.0
,,,,,,,,353,415.0,46370.0,2101.0
,,,,,,,,354,411.0,45870.0,2078.0
,,,,,,,,355,394.0,44019.0,1994.0
,,,,,,,,356,369.0,41209.0,1867.0
,,,,,,,,357,339.0,37921.0,1718.0
,,,,,,,,358,316.0,35281.0,1599.0
,,,,,,,,359,301.0,33680.0,1526.0
,,,,,,,,360,292.0,32643.0,1479.0
,,,,,,,,361,361.0,40328.0,1827.0
,,,,,,,,362,351.0,39202.0,1776.0
,,,,,,,,363,346.0,38624.0,1750.0
,,,,,,,,364,341.0,38082.0,1725.0
,,,,,,,,365,350.0,39108.0,1772.0
