Time_Index,None,pacific_naturalgas,rockies_coal,rockies_naturalgas,rockies_uranium,pacific_uranium,pacific_naturalgas_ccs100,rockies_naturalgas_ccs100
136,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
137,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
138,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
139,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
140,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
141,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
142,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
143,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
144,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
145,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
146,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
147,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
148,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
149,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
150,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
151,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
152,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
153,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
154,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
155,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
156,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
157,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
158,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
159,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
160,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
161,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
162,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
163,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
164,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
165,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
166,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
167,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
168,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
169,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
170,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
171,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
172,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
173,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
174,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
175,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
176,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
177,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
178,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
179,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
180,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
181,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
182,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
183,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
184,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
185,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
186,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
187,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
188,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
189,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
190,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
191,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
192,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
193,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
194,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
195,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
196,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
197,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
198,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
199,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
200,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
201,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
202,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
203,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
204,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
205,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
206,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
207,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
208,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
209,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
210,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
211,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
212,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
213,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
214,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
215,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
216,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
217,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
218,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
219,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
220,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
221,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
222,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
223,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
224,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
225,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
226,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
227,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
228,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
229,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
230,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
231,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
232,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
233,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
234,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
235,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
236,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
237,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
238,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
239,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
240,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
241,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
242,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
243,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
244,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
245,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
246,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
247,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
248,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
249,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
250,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
251,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
252,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
253,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
254,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
255,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
256,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
257,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
258,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
259,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
260,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
261,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
262,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
263,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
264,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
265,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
266,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
267,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
268,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
269,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
270,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
271,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
272,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
273,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
274,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
275,0.0,4.35,1.67,4.2,0.73,0.73,4.35,4.2
