Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,141,10979.0,17105.0,8791.0,12830.0,18910.0,9188.0
,,,,,,,,142,9237.0,14380.0,8146.0,11720.0,16796.0,8438.0
,,,,,,,,143,8861.0,13793.0,7747.0,11525.0,15233.0,8571.0
,,,,,,,,144,9467.0,14743.0,7618.0,12242.0,14891.0,8370.0
,,,,,,,,145,9807.0,15270.0,7464.0,12245.0,14468.0,8236.0
,,,,,,,,146,9541.0,14851.0,7348.0,12116.0,14185.0,8059.0
,,,,,,,,147,9389.0,14617.0,7323.0,12149.0,13987.0,8284.0
,,,,,,,,148,9595.0,14938.0,7562.0,12683.0,14403.0,8360.0
,,,,,,,,149,9906.0,15421.0,8031.0,13399.0,15249.0,8822.0
,,,,,,,,150,10744.0,16725.0,8863.0,14410.0,17145.0,9579.0
,,,,,,,,151,12249.0,19087.0,9601.0,14771.0,19334.0,10008.0
,,,,,,,,152,12500.0,19482.0,9840.0,15169.0,20217.0,10104.0
,,,,,,,,153,12439.0,19377.0,9851.0,15312.0,20034.0,9996.0
,,,,,,,,154,12548.0,19535.0,9848.0,15646.0,19874.0,10261.0
,,,,,,,,155,12936.0,20135.0,9905.0,16057.0,19954.0,10259.0
,,,,,,,,156,13032.0,20286.0,9913.0,16608.0,19912.0,10295.0
,,,,,,,,157,13121.0,20425.0,9925.0,17015.0,19973.0,10346.0
,,,,,,,,158,13095.0,20381.0,9783.0,17097.0,19641.0,10282.0
,,,,,,,,159,11612.0,18058.0,9482.0,16489.0,19678.0,10368.0
,,,,,,,,160,10650.0,16554.0,9555.0,16362.0,20134.0,10434.0
,,,,,,,,161,10596.0,16483.0,9904.0,16462.0,20918.0,10992.0
,,,,,,,,162,10810.0,16834.0,10238.0,16485.0,21760.0,10711.0
,,,,,,,,163,10647.0,16585.0,9830.0,15460.0,20992.0,9934.0
,,,,,,,,164,9966.0,15518.0,9138.0,14051.0,19305.0,9509.0
,,,,,,,,165,9580.0,14921.0,8415.0,12602.0,18199.0,8906.0
,,,,,,,,166,7230.0,11240.0,7809.0,11605.0,16995.0,8315.0
,,,,,,,,167,7638.0,11879.0,7569.0,11653.0,15904.0,8334.0
,,,,,,,,168,9047.0,14082.0,7732.0,12429.0,15234.0,8759.0
,,,,,,,,169,10178.0,15808.0,7727.0,12483.0,14637.0,8419.0
,,,,,,,,170,9516.0,14770.0,7535.0,12158.0,13964.0,8463.0
,,,,,,,,171,9391.0,14567.0,7489.0,12162.0,13821.0,8524.0
,,,,,,,,172,9505.0,14740.0,7575.0,12306.0,14047.0,8529.0
,,,,,,,,173,9593.0,14874.0,7763.0,12408.0,14378.0,8733.0
,,,,,,,,174,9946.0,15422.0,8154.0,12798.0,15236.0,8994.0
,,,,,,,,175,10781.0,16727.0,8484.0,12959.0,16337.0,9206.0
,,,,,,,,176,10663.0,16547.0,8873.0,13523.0,17349.0,9532.0
,,,,,,,,177,10951.0,17005.0,9165.0,14297.0,18187.0,9820.0
,,,,,,,,178,11434.0,17761.0,9501.0,15102.0,18876.0,10014.0
,,,,,,,,179,11854.0,18421.0,9515.0,15688.0,19084.0,10134.0
,,,,,,,,180,12110.0,18824.0,9578.0,16284.0,19187.0,10296.0
,,,,,,,,181,12291.0,19108.0,9605.0,16827.0,19091.0,10278.0
,,,,,,,,182,12215.0,18991.0,9502.0,16879.0,19032.0,9940.0
,,,,,,,,183,10599.0,16462.0,9190.0,15772.0,19040.0,9526.0
,,,,,,,,184,9155.0,14203.0,8949.0,15438.0,18844.0,9370.0
,,,,,,,,185,9179.0,14244.0,9179.0,15386.0,19313.0,9483.0
,,,,,,,,186,9251.0,14363.0,9375.0,15489.0,19449.0,10225.0
,,,,,,,,187,10407.0,16169.0,9732.0,15615.0,20466.0,10483.0
,,,,,,,,188,10715.0,16645.0,9554.0,15063.0,20383.0,9887.0
,,,,,,,,189,9894.0,15361.0,8853.0,13768.0,19232.0,9334.0
,,,,,,,,190,7815.0,12102.0,8334.0,12895.0,18004.0,8662.0
,,,,,,,,191,7447.0,11529.0,8008.0,12575.0,16363.0,8815.0
,,,,,,,,192,9083.0,14102.0,8006.0,13343.0,15475.0,8769.0
,,,,,,,,193,9709.0,15086.0,7817.0,13002.0,14530.0,8558.0
,,,,,,,,194,9022.0,14006.0,7638.0,12640.0,13770.0,8653.0
,,,,,,,,195,8709.0,13512.0,7629.0,12549.0,13519.0,8814.0
,,,,,,,,196,8652.0,13417.0,7730.0,12509.0,13700.0,8703.0
,,,,,,,,197,8504.0,13184.0,7904.0,12475.0,14027.0,8836.0
,,,,,,,,198,8733.0,13541.0,8225.0,12508.0,14805.0,8939.0
,,,,,,,,199,9178.0,14238.0,8498.0,12698.0,15664.0,8912.0
,,,,,,,,200,9617.0,14928.0,8794.0,13362.0,16731.0,9106.0
,,,,,,,,201,10137.0,15747.0,9051.0,14296.0,17671.0,9379.0
,,,,,,,,202,10841.0,16848.0,9288.0,15218.0,18369.0,9607.0
,,,,,,,,203,11436.0,17779.0,9344.0,16027.0,18390.0,9756.0
,,,,,,,,204,11859.0,18442.0,9377.0,16627.0,18556.0,9995.0
,,,,,,,,205,12258.0,19068.0,9444.0,17046.0,18588.0,10062.0
,,,,,,,,206,12349.0,19211.0,9368.0,16883.0,18519.0,9975.0
,,,,,,,,207,10876.0,16902.0,9144.0,15827.0,18560.0,10025.0
,,,,,,,,208,9528.0,14795.0,8955.0,15296.0,18402.0,10111.0
,,,,,,,,209,9683.0,15040.0,9188.0,15391.0,19019.0,9899.0
,,,,,,,,210,10081.0,15667.0,9504.0,15832.0,19410.0,10562.0
,,,,,,,,211,11256.0,17500.0,9821.0,16051.0,20726.0,10766.0
,,,,,,,,212,11424.0,17754.0,9708.0,15487.0,20750.0,10167.0
,,,,,,,,213,10485.0,16287.0,8896.0,13991.0,19363.0,9596.0
,,,,,,,,214,8104.0,12556.0,8202.0,12906.0,17490.0,8688.0
,,,,,,,,215,7584.0,11748.0,7778.0,12577.0,15829.0,8682.0
,,,,,,,,216,8914.0,13850.0,7740.0,13276.0,14959.0,8405.0
,,,,,,,,217,9249.0,14410.0,7405.0,12819.0,13821.0,8399.0
,,,,,,,,218,8747.0,13624.0,7345.0,12665.0,13487.0,8419.0
,,,,,,,,219,8384.0,13059.0,7369.0,12631.0,13241.0,8711.0
,,,,,,,,220,8348.0,12999.0,7682.0,13119.0,13799.0,8839.0
,,,,,,,,221,8428.0,13122.0,8266.0,13874.0,14884.0,9342.0
,,,,,,,,222,9211.0,14344.0,9222.0,14817.0,16970.0,10108.0
,,,,,,,,223,10327.0,16096.0,9827.0,15341.0,18930.0,10412.0
,,,,,,,,224,11510.0,17945.0,10047.0,15714.0,20096.0,10319.0
,,,,,,,,225,11952.0,18626.0,10035.0,15997.0,20040.0,10153.0
,,,,,,,,226,12620.0,19658.0,10110.0,16493.0,20110.0,10304.0
