ID,Resource,Zone,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh
46,WECC_NMAZ_geothermal_1,4,5.8,5.8,0.0,0.005163357963144307,50.668799999999855,0.006451854040702075
47,WECC_NMAZ_hydroelectric_pumped_storage_1,4,181.45947500000005,216.3,-34.84052499999996,0.16154141814297165,116.14011810426457,0.014788569894661367
48,WECC_NMAZ_natural_gas_fired_combined_cycle_1,4,0.0,1129.3,-1129.3,0.0,0.0,0.0
49,WECC_NMAZ_natural_gas_fired_combined_cycle_2,4,0.0,15426.2,-15426.2,0.0,0.0,0.0
50,WECC_NMAZ_natural_gas_fired_combustion_turbine_1,4,0.0,5382.2,-5382.2,0.0,0.0,0.0
51,WECC_NMAZ_natural_gas_fired_combustion_turbine_2,4,0.0,348.0,-348.0,0.0,0.0,0.0
52,WECC_NMAZ_natural_gas_steam_turbine_1,4,0.0,1536.0,-1536.0,0.0,0.0,0.0
53,WECC_NMAZ_nuclear_1,4,20433.450004057882,4003.0,16430.450004057882,18.190554619476437,142792.47018415743,18.18231684467541
54,WECC_NMAZ_onshore_wind_turbine_1,4,4340.7,4340.7,0.0,3.8642392949345674,13865.680319399999,1.7655706390481793
55,WECC_NMAZ_other_peaker_1,4,0.0,501.7,-501.7,0.0,0.0,0.0
56,WECC_NMAZ_solar_photovoltaic_1,4,8407.3,8407.3,0.0,7.484465414403988,14686.745999200002,1.8701201038845174
57,WECC_PNW_batteries_1,5,41.0,41.0,0.0,0.036499599394640786,43.70112024786886,0.00556463246128625
58,WECC_PNW_biomass_1,5,191.3,191.3,0.0,0.17030178937060447,1615.9110999999975,0.20576020272732626
59,WECC_PNW_conventional_hydroelectric_1,5,30586.1,30586.1,0.0,27.228790171815188,116344.86433955129,14.814641023747768
60,WECC_PNW_geothermal_1,5,22.6,22.6,0.0,0.020119291373631266,195.85159999999968,0.024938540814820324
61,WECC_PNW_hydroelectric_pumped_storage_1,5,314.0,314.0,0.0,0.2795335173150538,403.5115239009721,0.05138068112823564
62,WECC_PNW_natural_gas_fired_combined_cycle_1,5,0.0,2899.0,-2899.0,0.0,0.0,0.0
63,WECC_PNW_natural_gas_fired_combined_cycle_2,5,0.0,4016.2,-4016.2,0.0,0.0,0.0
64,WECC_PNW_natural_gas_fired_combustion_turbine_1,5,0.0,776.2,-776.2,0.0,0.0,0.0
65,WECC_PNW_natural_gas_fired_combustion_turbine_2,5,0.0,422.4,-422.4,0.0,0.0,0.0
66,WECC_PNW_natural_gas_steam_turbine_1,5,0.0,3.0,-3.0,0.0,0.0,0.0
67,WECC_PNW_nuclear_1,5,7983.761291769254,1172.0,6811.761291769254,7.107416800293113,54496.029335241714,6.939189936781591
68,WECC_PNW_onshore_wind_turbine_1,5,7349.999999999972,7350.0,-2.8194335754960775e-11,6.543220867088019,14648.542649999952,1.8652555238489787
69,WECC_PNW_other_peaker_1,5,0.0,279.6,-279.6,0.0,0.0,0.0
70,WECC_PNW_solar_photovoltaic_1,5,1448.6,1448.6,0.0,1.2895931630018695,1606.2120257999998,0.2045251821413182
71,WECC_WYCO_batteries_1,6,240.2,240.2,0.0,0.21383423840470045,357.41735274638285,0.045511332250493315
72,WECC_WYCO_biomass_1,6,10.8,10.8,0.0,0.009614528621027331,42.71399999999997,0.005438938626818654
73,WECC_WYCO_conventional_hydroelectric_1,6,974.1,974.1,0.0,0.8671770675687706,1146.0543991076242,0.14593153391726144
74,WECC_WYCO_conventional_steam_coal_1,6,0.0,6261.0,-6261.0,0.0,0.0,0.0
75,WECC_WYCO_hydroelectric_pumped_storage_1,6,580.8,580.8,0.0,0.517047983619692,971.8348570280081,0.12374748660341858
76,WECC_WYCO_natural_gas_fired_combined_cycle_1,6,0.0,1606.5,-1606.5,0.0,0.0,0.0
77,WECC_WYCO_natural_gas_fired_combined_cycle_2,6,0.0,1955.0,-1955.0,0.0,0.0,0.0
78,WECC_WYCO_natural_gas_fired_combustion_turbine_1,6,0.0,303.8,-303.8,0.0,0.0,0.0
79,WECC_WYCO_natural_gas_fired_combustion_turbine_2,6,0.0,2853.0,-2853.0,0.0,0.0,0.0
80,WECC_WYCO_natural_gas_steam_turbine_1,6,0.0,98.0,-98.0,0.0,0.0,0.0
81,WECC_WYCO_onshore_wind_turbine_1,6,11507.500000000002,11507.5,1.8189894035458565e-12,10.24436926911778,37116.02646736396,4.726127031590802
82,WECC_WYCO_other_peaker_1,6,0.0,442.2,-442.2,0.0,0.0,0.0
83,WECC_WYCO_solar_photovoltaic_1,6,2310.4,2310.4,0.0,2.056796937594587,3641.4930624,0.46368537894787476
84,CA_N_naturalgas_ccavgcf_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0
85,CA_N_naturalgas_ctavgcf_moderate_0,1,0.0,0.0,0.0,0.0,0.0,0.0
