region,Resource,technology,cluster,R_ID,Zone,CapRes,THERM,VRE,MUST_RUN,STOR,FLEX,HEAT,NACC,TRADER,HYDRO,LDS,ESR_1,MGA,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Externality_cost_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Flexible_Demand_Energy_Eff,Max_DSM_delay,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Num_VRE_Bins,regional_cost_multiplier,lcoe,wacc_real,cap_recovery_years,Hydro_level,Existing_Charge_Cap_MW,unit_id_pudl,CF,plant_id_eia,fixed_o_m_mw_std,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,CO2_Capture_Cost_per_Metric_Ton,co2_pipeline_annuity_mw,co2_pipeline_capex_mw,storage_cost_tonne,tonne_co2_captured_mwh,co2_cost_mwh,Reg_Cost,Rsv_Cost,Commit
WECC_NMAZ,WECC_NMAZ_conventional_steam_coal_1,Conventional Steam Coal,1,45,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2562,8,2562,0,320.25,0,0,-1,-1,0,0,0,0,0,0,67335,0,0,0,1.97,0,0,0,0,130,16.5,11.26,1.13,1.939,rockies_coal,0.275,0,1,1,0,0,0,0,0,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,"[113, 113, 160, 6177, 6177, 8223, 8223, 8223]",9915.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WECC_NMAZ,WECC_NMAZ_geothermal_1,Geothermal,1,46,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5.8,5,13.8,-1,1.16,0,0,-1,-1,0,0,0,0,0,0,218925,0,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.377,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[58629, 58629, 58629, 58629, 58629]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_NMAZ,WECC_NMAZ_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,1,47,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3352.6,216.3,6,216.3,-1,36.05,0,0,-1,-1,0,0,0,0,0,0,49259,0,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0.601,0,0.866,0.866,0,0,1,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[145, 148, 7164, 7164, 7164, 7164]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,48,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1129.3,13,1129.297,0,86.87,0,0,-1,-1,0,0,0,0,0,0,17267,0,0,0,4.76,0,0,0,0,96,2,8.03,2.291,1.551,rockies_naturalgas,0.527,0,1,1,0,0,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,"[147, 10761, 10761, 10761, 54271, 54667, 54667, 54694, 55210, 55977, 56229, 58199, 59233]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2,49,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15426.2,38,15426.214,0,405.95,0,0,-1,-1,0,0,0,0,0,0,11071,0,0,0,3.76,0,0,0,0,96,2,7.7,1.709,1.644,rockies_naturalgas,0.407,0,1,1,0,0,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,"[117, 117, 117, 117, 117, 2322, 2322, 2322, 3456, 3456, 7082, 8068, 8068, 8068, 8068, 8068, 8068, 55124, 55129, 55177, 55282, 55306, 55322, 55322, 55343, 55372, 55372, 55372, 55455, 55455, 55481, 55514, 55687, 55841, 58557, 59338, 59784, 60768]",1280.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,50,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5382.2,105,5382.195,0,51.26,0,0,-1,-1,0,0,0,0,0,0,11344,0,0,0,5.53,0,0,0,0,125,3.5,11.34,1.556,1.856,rockies_naturalgas,0.415,0,1,1,0,0,0,0,0,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,"[116, 116, 116, 116, 116, 116, 116, 117, 117, 118, 118, 118, 120, 120, 120, 120, 120, 124, 126, 126, 147, 147, 147, 160, 160, 160, 160, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2322, 2444, 3456, 6088, 6088, 6088, 6088, 6515, 6515, 6515, 6515, 7082, 7082, 7967, 7967, 7975, 7975, 7975, 7975, 50906, 50906, 54628, 54628, 54628, 54628, 54628, 54854, 54854, 54854, 54975, 55129, 55129, 55522, 55522, 55522, 55522, 55522, 55522, 55522, 55522, 55522, 55522, 55802, 56482, 56482, 56948, 56948, 56948, 56948, 56948, 56948, 56948, 56948, 56948, 56948, 56948, 56948, 57348, 57348, 58199, 58284, 58562, 58562, 58562, 58562]",1787.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2,51,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,348,5,348,0,69.6,0,0,-1,-1,0,0,0,0,0,0,10156,0,0,0,5.53,0,0,0,0,125,3.5,34.02,0,0,rockies_naturalgas,0.629,0,1,1,0,0,0,0,0,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,"[141, 141, 141, 141, 141]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WECC_NMAZ,WECC_NMAZ_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,52,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1536,18,1535.994,0,85.33,0,0,-1,-1,0,0,0,0,0,0,53714,0,0,0,1.1,0,0,0,0,92,13.7,11.84,2.351,2.812,rockies_naturalgas,0.415,0,1,1,0,0,0,0,0,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,"[120, 126, 126, 141, 141, 141, 147, 147, 160, 160, 2444, 2450, 2450, 2450, 2475, 2475, 2475, 3456]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WECC_NMAZ,WECC_NMAZ_nuclear_1,Nuclear,1,53,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4003,3,4002.999,1,1334.33,0,0,-1,-1,0,0,0,0,0,0,202355,0,0,0,2.84,0,0,0,0,259,0,10.44,0,0,rockies_uranium,0.5,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,24,24,0,0,0,0,0,0,0,0,0,0,0,"[6008, 6008, 6008]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WECC_NMAZ,WECC_NMAZ_onshore_wind_turbine_1,Onshore Wind Turbine,1,54,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4340.7,26,4340.7,0,166.95,0,0,-1,-1,0,0,0,0,0,0,43000,0,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"[56097, 56336, 56336, 56945, 57098, 57357, 57379, 57775, 57947, 58098, 58155, 58833, 59047, 60145, 60152, 61044, 61044, 61925, 63114, 63981, 64054, 64065, 64066, 64638, 66001, 66110]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_NMAZ,WECC_NMAZ_other_peaker_1,Other_peaker,1,55,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,501.7,31,501.704,0,16.18,0,0,0,0,0,0,0,0,0,0,21000,0,0,0,5.68,0,0,0,0,92,0,11.04,0.432,2.366,rockies_naturalgas,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[114, 120, 120, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 10339, 10339, 50241, 50241, 54594, 54594, 54734, 54734, 54734, 54734, 54734, 54734, 54734, 54734, 54734, 54734, 55039, 58125]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WECC_NMAZ,WECC_NMAZ_solar_photovoltaic_1,Solar Photovoltaic,1,56,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,8407.3,284,8407.252,0,29.6,0,0,-1,-1,0,0,0,0,0,0,22623,0,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"[141, 8223, 8223, 8223, 56228, 56568, 56568, 56568, 56944, 57205, 57205, 57205, 57205, 57205, 57243, 57318, 57324, 57338, 57369, 57373, 57373, 57373, 57392, 57442, 57524, 57556, 57560, 57561, 57562, 57563, 57563, 57567, 57571, 57571, 57575, 57575, 57576, 57577, 57591, 57657, 57673, 57679, 57680, 57680, 57680, 57680, 57680, 57707, 57707, 57707, 57707, 57707, 57707, 57707, 57707, 57707, 57707, 57707, 57707, 57765, 57765, 57765, 57765, 57765, 57775, 57790, 57795, 57859, 57883, 57930, 57939, 57939, 57985, 57986, 57997, 57997, 58010, 58010, 58017, 58017, 58017, 58017, 58017, 58037, 58042, 58147, 58171, 58213, 58240, 58256, 58262, 58292, 58293, 58383, 58477, 58486, 58489, 58490, 58501, 58516, 58517, 58520, 58521, 58539, 58540, 58543, 58544, 58588, 58589, 58632, 58644, 58644, 58644, 58644, 58644, 58644, 58644, 58644, 58689, 58708, 58709, 58794, 58832, 58833, 58842, 58899, 58915, 58915, 58915, 58915, 58915, 58915, 58915, 58915, 58915, 58915, 58972, 58972, 59010, 59020, 59044, 59168, 59251, 59393, 59404, 59407, 59430, 59444, 59454, 59455, 59558, 59560, 59618, 59619, 59634, 59653, 59747, 59779, 59814, 59814, 59819, 59827, 59919, 60062, 60195, 60196, 60197, 60198, 60230, 60258, 60261, 60285, 60300, 60301, 60307, 60308, 60341, 60350, 60352, 60381, 60413, 60467, 60572, 60603, 60654, 60684, 60685, 60685, 60685, 60685, 60822, 60822, 60827, 60885, 60964, 60996, 61104, 61165, 61193, 61199, 61268, 61268, 61272, 61556, 61557, 61558, 61611, 61662, 61678, 61825, 61852, 61862, 61887, 61930, 61931, 61932, 62075, 62149, 62191, 62248, 62406, 62440, 62467, 62597, 62643, 62643, 62643, 62643, 62643, 62643, 62643, 62643, 62643, 62643, 62643, 62756, 62899, 62994, 62995, 63080, 63081, 63082, 63123, 63124, 63125, 63172, 63184, 63349, 63352, 63391, 63440, 63476, 63477, 63504, 63531, 63554, 63579, 63728, 63860, 63933, 64076, 64384, 64404, 64404, 64426, 64566, 64580, 64695, 64881, 64903, 65103, 65185, 65956, 65962, 65963, 65972, 65977, 66098, 66099, 66125, 66163, 66287, 66357, 66408]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_PNW,WECC_PNW_batteries_1,Batteries,1,57,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107.4,41,7,40.999,-1,5.86,0,0,-1,-1,0,0,0,0,0,0,6235,0,0,0,0,0,0,0,0,0,0,10.34,0,0,None,0,0,0.92,0.92,0,0,1,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[60016, 60016, 60441, 60444, 62745, 64198, 64446]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECC_PNW,WECC_PNW_biomass_1,Biomass,1,58,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,191.3,100,711.7,-1,1.91,0,0,-1,-1,0,0,0,0,0,0,150850,0,0,0,6.72,0,0,0,0,0,0,15.64,2.764,4.568,None,0.203,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[550, 7413, 7413, 7413, 7413, 7725, 7725, 7725, 7725, 7725, 10869, 50185, 50185, 50187, 50187, 50187, 50187, 50191, 50191, 50191, 50191, 50329, 50329, 50396, 50396, 50544, 50630, 50637, 50637, 50637, 50886, 50921, 50993, 54562, 55090, 55882, 56192, 56193, 56193, 56406, 56461, 56461, 56469, 56781, 57015, 57015, 57015, 57015, 57015, 57015, 57015, 57015, 57015, 57015, 57015, 57015, 57019, 57019, 57019, 57019, 57019, 57019, 57099, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57298, 57457, 57902, 57902, 57911, 57969, 58109, 58352, 58591, 58687, 58687, 58687, 58688, 58688, 58688, 59704, 60263, 60263, 61761, 64663]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
