Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11
,,,,,,,,103,15452,1385,1048,2077,238,1280,2297,7049,2244,20910,78110
,,,,,,,,104,18945,1523,1154,2285,261,1409,2528,7764,2474,22283,81790
,,,,,,,,105,19001,1558,1180,2337,267,1442,2582,7843,2486,22001,81246
,,,,,,,,106,18330,1567,1187,2351,268,1451,2593,7790,2456,21387,79623
,,,,,,,,107,17792,1573,1191,2359,269,1456,2602,7815,2464,21099,78884
,,,,,,,,108,15379,1535,1162,2303,263,1422,2537,7547,2369,17134,74401
,,,,,,,,109,15552,1473,1115,2210,252,1366,2432,7163,2237,16155,72286
,,,,,,,,110,14839,1444,1094,2167,247,1339,2383,6983,2177,15803,71168
,,,,,,,,111,14905,1441,1092,2162,247,1337,2377,6964,2170,15962,71153
,,,,,,,,112,14815,1484,1124,2226,255,1375,2450,7246,2267,16780,71775
,,,,,,,,113,16107,1497,1133,2245,257,1387,2472,7361,2305,17553,72944
,,,,,,,,114,17197,1524,1154,2286,261,1411,2519,7601,2387,18837,74428
,,,,,,,,115,16973,1489,1128,2235,256,1380,2461,7423,2325,18192,71975
,,,,,,,,116,16855,1501,1137,2252,258,1391,2480,7497,2350,17923,70652
,,,,,,,,117,17589,1570,1189,2356,269,1455,2596,7900,2483,19023,73053
,,,,,,,,118,15879,1422,1077,2134,244,1319,2347,6996,2178,19954,73155
,,,,,,,,119,15431,1347,1020,2021,231,1248,2224,6629,2071,18585,68782
,,,,,,,,120,14746,1263,957,1896,216,1171,2088,6216,1947,17390,65565
,,,,,,,,121,13511,1394,1056,2091,239,1291,2304,7031,2209,19733,69986
,,,,,,,,122,12351,1328,1006,1992,228,1230,2192,6604,2065,18397,65984
,,,,,,,,123,11801,1278,968,1918,219,1186,2110,6342,1980,17606,63711
,,,,,,,,124,11438,1245,943,1868,213,1155,2056,6159,1921,17057,62182
,,,,,,,,125,11168,1226,928,1839,210,1137,2022,6035,1878,16722,61409
,,,,,,,,126,11086,1225,927,1837,210,1135,2021,6037,1880,16809,61722
,,,,,,,,127,11140,1221,925,1831,209,1131,2015,6062,1893,16995,62814
,,,,,,,,128,11124,1225,928,1837,210,1134,2025,6210,1951,17494,64198
,,,,,,,,129,11772,1312,994,1970,225,1215,2172,6731,2121,19027,68753
,,,,,,,,130,13065,1420,1075,2129,244,1314,2350,7339,2317,20716,74611
,,,,,,,,131,14160,1505,1140,2258,258,1393,2495,7869,2495,22218,79248
,,,,,,,,132,12486,1496,1132,2243,257,1385,2474,7760,2448,22331,82596
,,,,,,,,133,13106,1552,1175,2328,266,1437,2570,8092,2559,22995,84975
,,,,,,,,134,12388,1551,1174,2325,266,1435,2568,8100,2564,22617,86780
,,,,,,,,135,12673,1579,1195,2368,271,1460,2617,8283,2629,22570,87243
,,,,,,,,136,13648,1575,1193,2364,271,1458,2613,8305,2637,22479,87691
,,,,,,,,137,14003,1574,1192,2362,271,1456,2611,8322,2647,22455,87390
,,,,,,,,138,13177,1533,1160,2299,263,1418,2542,8108,2577,22189,85344
,,,,,,,,139,14267,1491,1129,2238,256,1380,2472,7873,2496,22139,83765
,,,,,,,,140,14317,1506,1141,2259,259,1393,2496,7951,2518,22700,83993
,,,,,,,,141,14822,1555,1178,2334,266,1439,2577,8186,2589,22633,82511
,,,,,,,,142,15196,1548,1172,2321,265,1433,2563,8119,2567,22488,81011
,,,,,,,,143,14725,1504,1139,2255,258,1392,2488,7797,2461,21710,76983
,,,,,,,,144,14375,1438,1089,2157,246,1331,2380,7361,2320,20252,72020
,,,,,,,,145,12859,1347,1019,2021,231,1248,2224,6549,2048,18462,67249
,,,,,,,,146,11943,1293,979,1941,222,1199,2134,6206,1933,17447,63951
,,,,,,,,147,11361,1251,947,1876,214,1160,2062,5959,1853,16850,61935
,,,,,,,,148,11034,1228,930,1842,210,1139,2024,5832,1812,16569,60868
,,,,,,,,149,10830,1220,924,1830,209,1131,2010,5789,1797,16580,60702
,,,,,,,,150,10902,1235,935,1852,211,1145,2036,5882,1829,17112,61803
,,,,,,,,151,11474,1257,952,1886,215,1165,2076,6105,1911,18024,63854
,,,,,,,,152,11884,1286,974,1929,220,1192,2125,6303,1978,18617,65700
