time_index,gen_full,cf
18,ca_s_natural_gas_fired_combined_cycle_1,1.0
19,ca_s_natural_gas_fired_combined_cycle_1,1.0
20,ca_s_natural_gas_fired_combined_cycle_1,1.0
21,ca_s_natural_gas_fired_combined_cycle_1,1.0
22,ca_s_natural_gas_fired_combined_cycle_1,1.0
23,ca_s_natural_gas_fired_combined_cycle_1,1.0
24,ca_s_natural_gas_fired_combined_cycle_1,1.0
1,ca_s_natural_gas_fired_combined_cycle_2,1.0
2,ca_s_natural_gas_fired_combined_cycle_2,1.0
3,ca_s_natural_gas_fired_combined_cycle_2,1.0
4,ca_s_natural_gas_fired_combined_cycle_2,1.0
5,ca_s_natural_gas_fired_combined_cycle_2,1.0
6,ca_s_natural_gas_fired_combined_cycle_2,1.0
7,ca_s_natural_gas_fired_combined_cycle_2,1.0
8,ca_s_natural_gas_fired_combined_cycle_2,1.0
9,ca_s_natural_gas_fired_combined_cycle_2,1.0
10,ca_s_natural_gas_fired_combined_cycle_2,1.0
11,ca_s_natural_gas_fired_combined_cycle_2,1.0
12,ca_s_natural_gas_fired_combined_cycle_2,1.0
13,ca_s_natural_gas_fired_combined_cycle_2,1.0
14,ca_s_natural_gas_fired_combined_cycle_2,1.0
15,ca_s_natural_gas_fired_combined_cycle_2,1.0
16,ca_s_natural_gas_fired_combined_cycle_2,1.0
17,ca_s_natural_gas_fired_combined_cycle_2,1.0
18,ca_s_natural_gas_fired_combined_cycle_2,1.0
19,ca_s_natural_gas_fired_combined_cycle_2,1.0
20,ca_s_natural_gas_fired_combined_cycle_2,1.0
21,ca_s_natural_gas_fired_combined_cycle_2,1.0
22,ca_s_natural_gas_fired_combined_cycle_2,1.0
23,ca_s_natural_gas_fired_combined_cycle_2,1.0
24,ca_s_natural_gas_fired_combined_cycle_2,1.0
1,ca_s_natural_gas_fired_combustion_turbine_1,1.0
2,ca_s_natural_gas_fired_combustion_turbine_1,1.0
3,ca_s_natural_gas_fired_combustion_turbine_1,1.0
4,ca_s_natural_gas_fired_combustion_turbine_1,1.0
5,ca_s_natural_gas_fired_combustion_turbine_1,1.0
6,ca_s_natural_gas_fired_combustion_turbine_1,1.0
7,ca_s_natural_gas_fired_combustion_turbine_1,1.0
8,ca_s_natural_gas_fired_combustion_turbine_1,1.0
9,ca_s_natural_gas_fired_combustion_turbine_1,1.0
10,ca_s_natural_gas_fired_combustion_turbine_1,1.0
11,ca_s_natural_gas_fired_combustion_turbine_1,1.0
12,ca_s_natural_gas_fired_combustion_turbine_1,1.0
13,ca_s_natural_gas_fired_combustion_turbine_1,1.0
14,ca_s_natural_gas_fired_combustion_turbine_1,1.0
15,ca_s_natural_gas_fired_combustion_turbine_1,1.0
16,ca_s_natural_gas_fired_combustion_turbine_1,1.0
17,ca_s_natural_gas_fired_combustion_turbine_1,1.0
18,ca_s_natural_gas_fired_combustion_turbine_1,1.0
19,ca_s_natural_gas_fired_combustion_turbine_1,1.0
20,ca_s_natural_gas_fired_combustion_turbine_1,1.0
21,ca_s_natural_gas_fired_combustion_turbine_1,1.0
22,ca_s_natural_gas_fired_combustion_turbine_1,1.0
23,ca_s_natural_gas_fired_combustion_turbine_1,1.0
24,ca_s_natural_gas_fired_combustion_turbine_1,1.0
1,ca_s_natural_gas_fired_combustion_turbine_2,1.0
2,ca_s_natural_gas_fired_combustion_turbine_2,1.0
3,ca_s_natural_gas_fired_combustion_turbine_2,1.0
4,ca_s_natural_gas_fired_combustion_turbine_2,1.0
5,ca_s_natural_gas_fired_combustion_turbine_2,1.0
6,ca_s_natural_gas_fired_combustion_turbine_2,1.0
7,ca_s_natural_gas_fired_combustion_turbine_2,1.0
8,ca_s_natural_gas_fired_combustion_turbine_2,1.0
9,ca_s_natural_gas_fired_combustion_turbine_2,1.0
10,ca_s_natural_gas_fired_combustion_turbine_2,1.0
11,ca_s_natural_gas_fired_combustion_turbine_2,1.0
12,ca_s_natural_gas_fired_combustion_turbine_2,1.0
13,ca_s_natural_gas_fired_combustion_turbine_2,1.0
14,ca_s_natural_gas_fired_combustion_turbine_2,1.0
15,ca_s_natural_gas_fired_combustion_turbine_2,1.0
16,ca_s_natural_gas_fired_combustion_turbine_2,1.0
17,ca_s_natural_gas_fired_combustion_turbine_2,1.0
18,ca_s_natural_gas_fired_combustion_turbine_2,1.0
19,ca_s_natural_gas_fired_combustion_turbine_2,1.0
20,ca_s_natural_gas_fired_combustion_turbine_2,1.0
21,ca_s_natural_gas_fired_combustion_turbine_2,1.0
22,ca_s_natural_gas_fired_combustion_turbine_2,1.0
23,ca_s_natural_gas_fired_combustion_turbine_2,1.0
24,ca_s_natural_gas_fired_combustion_turbine_2,1.0
1,ca_s_natural_gas_steam_turbine_1,1.0
2,ca_s_natural_gas_steam_turbine_1,1.0
3,ca_s_natural_gas_steam_turbine_1,1.0
4,ca_s_natural_gas_steam_turbine_1,1.0
5,ca_s_natural_gas_steam_turbine_1,1.0
6,ca_s_natural_gas_steam_turbine_1,1.0
7,ca_s_natural_gas_steam_turbine_1,1.0
8,ca_s_natural_gas_steam_turbine_1,1.0
9,ca_s_natural_gas_steam_turbine_1,1.0
10,ca_s_natural_gas_steam_turbine_1,1.0
11,ca_s_natural_gas_steam_turbine_1,1.0
12,ca_s_natural_gas_steam_turbine_1,1.0
13,ca_s_natural_gas_steam_turbine_1,1.0
14,ca_s_natural_gas_steam_turbine_1,1.0
15,ca_s_natural_gas_steam_turbine_1,1.0
16,ca_s_natural_gas_steam_turbine_1,1.0
17,ca_s_natural_gas_steam_turbine_1,1.0
18,ca_s_natural_gas_steam_turbine_1,1.0
19,ca_s_natural_gas_steam_turbine_1,1.0
20,ca_s_natural_gas_steam_turbine_1,1.0
21,ca_s_natural_gas_steam_turbine_1,1.0
22,ca_s_natural_gas_steam_turbine_1,1.0
23,ca_s_natural_gas_steam_turbine_1,1.0
